id,titulo,texto,data,fonte
1,"Copom mantém Selic em 13,75% ao ano pela quarta reunião consecutiva","Publicado em: 02/08/2023 às 20h15 O Comitê de Política Monetária (Copom) do Banco Central do Brasil decidiu, por unanimidade, manter a taxa básica de juros (Selic) em 13,75% ao ano. Esta é a quarta reunião consecutiva em que o comitê opta pela manutenção. Segundo o comunicado oficial, o Copom avaliou que o ambiente inflacionário ainda exige cautela, embora o IPCA acumulado nos últimos doze meses tenha apresentado desaceleração consistente. O colegiado ponderou, ainda, os efeitos defasados da política monetária já em vigor sobre a atividade econômica. Leia o comunicado completo em www.bcb.gov.br",2023-08-02,Banco Central do Brasil
2,"IPCA de julho registra 0,12%, menor resultado para o mês desde 2006","Publicado em: 09/08/2023 às 09h00 O Índice Nacional de Preços ao Consumidor Amplo (IPCA) ficou em 0,12% em julho de 2023, o menor resultado para o mês desde 2006, quando havia recuado 0,04%. No acumulado do ano, o índice chega a 3,19%, e em doze meses, a 3,99%. O grupo de Alimentação e Bebidas foi o principal responsável pela desaceleração, com variação negativa de 0,07%. Já Transportes apresentaram alta de 0,39%, puxados pelo aumento nos preços dos combustíveis. Dados completos disponíveis em ibge.gov.br .",2023-08-09,IBGE
3,"PIB do Brasil cresce 1,9% no segundo trimestre de 2023","Publicado em: 01/09/2023 às 10h30 O Produto Interno Bruto (PIB) do Brasil cresceu 1,9% no segundo trimestre de 2023 em relação ao trimestre anterior, segundo dados divulgados pelo IBGE . O resultado superou as expectativas do mercado, que projetava expansão de 1,5%. O setor de serviços foi o grande destaque, com crescimento de 0,6%, enquanto a agropecuária avançou 0,9%, beneficiada pela safra recorde de soja. A indústria, por sua vez, teve alta mais modesta de 0,3%. No acumulado dos quatro trimestres encerrados em junho de 2023, o PIB cresceu 3,4% em relação aos quatro trimestres anteriores.",2023-09-01,IBGE
4,"Taxa de desemprego cai para 7,9% no segundo trimestre, menor nível desde 2014","Publicado em: 29/08/2023 A taxa de desemprego no Brasil recuou para 7,9% no segundo trimestre de 2023, o menor nível desde o quarto trimestre de 2014, quando foi de 6,5%. Os dados são da Pesquisa Nacional por Amostra de Domicílios (PNAD Contínua), do IBGE. O número de desocupados caiu para 8,5 milhões de pessoas, uma redução de 1,1 milhão em relação ao trimestre anterior. O emprego formal, com carteira assinada, cresceu 2,3% no período. A renda média real dos trabalhadores também registrou crescimento de 3,7% na comparação anual, chegando a R$ 2.958. Acesse a PNAD Contínua completa",2023-08-29,IBGE
5,"Dólar fecha abaixo de R$ 4,80 com expectativa de corte de juros nos EUA","23/08/2023 - 18h45 | Mercados O dólar comercial encerrou a sessão desta quarta-feira cotado a R$ 4,79, uma queda de 0,8% em relação ao fechamento anterior. A divisa americana operou em baixa durante todo o pregão, influenciada pelas declarações do presidente do Federal Reserve , Jerome Powell, no simpósio de Jackson Hole, que sinalizaram possível pausa no ciclo de aperto monetário norte-americano. No mercado doméstico, o fluxo cambial positivo e a melhora nas expectativas para a economia brasileira também contribuíram para a valorização do real. Veja a cotação completa em BCB - Histórico de Cotações",2023-08-23,Valor Econômico
6,"Copom inicia ciclo de corte e reduz Selic para 13,25%","Publicado em: 02/08/2023 Em movimento amplamente esperado pelo mercado financeiro, o Copom reduziu a taxa Selic em 0,50 ponto percentual, de 13,75% para 13,25% ao ano. É o primeiro corte desde agosto de 2020. O comitê sinalizou que, se o cenário base se confirmar, antecipa cortes de mesma magnitude nas próximas reuniões. O comunicado destacou que a desinflação acontece em ritmo mais rápido que o esperado , tanto no núcleo quanto nos preços administrados. Economistas ouvidos pelo Valor avaliam que a Selic pode encerrar 2023 em torno de 11,75%.",2023-08-02,Valor Econômico
7,"Inadimplência das famílias sobe para 6,3% em julho, aponta BC","Publicado em: 25/08/2023 às 10h00 A inadimplência das famílias — operações com atraso superior a 90 dias — subiu para 6,3% em julho, alta de 0,1 ponto percentual em relação a junho, segundo dados do Banco Central . O indicador acumula crescimento de 0,8 pp nos últimos doze meses. O endividamento das famílias com o sistema financeiro atingiu 49,1% da renda acumulada em doze meses. O comprometimento da renda com o serviço da dívida ficou em 28,5%. O crédito pessoal não consignado, modalidade mais cara e de maior risco, apresentou inadimplência de 9,1%. Especialistas atribuem a piora ao efeito defasado dos juros altos sobre as finanças das famílias.",2023-08-25,Banco Central do Brasil
8,"Exportações brasileiras somam US$ 32,4 bilhões em julho, recorde para o mês","07/08/2023 As exportações brasileiras totalizaram US$ 32,4 bilhões em julho de 2023, recorde histórico para o mês, segundo dados divulgados pelo Ministério do Desenvolvimento, Indústria, Comércio e Serviços (MDIC). O resultado representa crescimento de 3,9% em relação a julho de 2022. A soja foi o principal produto exportado, com US$ 5,8 bilhões, seguida de petróleo bruto (US$ 4,1 bilhões) e carne bovina (US$ 1,3 bilhão). A China seguiu como principal destino, absorvendo 33% do total das vendas externas. As importações somaram US$ 22,1 bilhões, resultando em superávit comercial de US$ 10,3 bilhões.",2023-08-07,MDIC
9,Inflação ao produtor (IPA) desacelera e pressão sobre preços finais diminui,"Publicado em: 10/08/2023 O Índice de Preços ao Produtor Amplo (IPA), que mede a variação de preços no atacado, registrou deflação de 0,55% em julho, segundo a FGV IBRE . O resultado reforça a tendência de menor pressão inflacionária sobre os preços ao consumidor nos próximos meses. Os produtos agropecuários registraram queda de 1,12%, enquanto os industriais recuaram 0,21%. Analistas da FGV destacam que a transmissão da deflação no atacado para o consumidor ocorre com defasagem de dois a três meses. O IGP-M, que também computa o IPA em sua fórmula, acumula queda de 5,18% nos últimos doze meses até julho.",2023-08-10,FGV IBRE
10,"Crédito total no Brasil atinge R$ 5,6 trilhões com desaceleração no crescimento","25/08/2023 — Nota à Imprensa O estoque total de crédito no sistema financeiro nacional atingiu R$ 5,6 trilhões em julho de 2023, segundo o Relatório de Crédito do Banco Central . O crescimento anual desacelerou para 8,3%, ante 16,4% registrado em julho de 2022. O crédito às pessoas físicas cresceu 11,4% em doze meses, enquanto o crédito a empresas avançou apenas 5,1%. A taxa média de juros nas operações de crédito livre ficou em 40,2% ao ano, ainda em patamar elevado. O Banco Central observa que a desaceleração reflete tanto as condições financeiras mais restritivas quanto a maior seleção de risco pelas instituições financeiras.",2023-08-25,Banco Central do Brasil
